CAPEC,count
CAPEC-109,388
CAPEC-187,236
CAPEC-54,133
CAPEC-592,110
CAPEC-588,104
CAPEC-250,99
CAPEC-95,95
CAPEC-470,91
CAPEC-384,90
CAPEC-215,76
CAPEC-125,56
CAPEC-122,55
CAPEC-591,49
CAPEC-79,44
CAPEC-147,44
CAPEC-1,41
CAPEC-586,39
CAPEC-64,38
CAPEC-664,38
CAPEC-263,38
CAPEC-198,36
CAPEC-271,33
CAPEC-209,33
CAPEC-126,33
CAPEC-227,31
CAPEC-194,27
CAPEC-469,26
CAPEC-108,26
CAPEC-180,25
CAPEC-225,25
CAPEC-62,24
CAPEC-492,24
CAPEC-63,24
CAPEC-130,20
CAPEC-462,18
CAPEC-467,17
CAPEC-196,17
CAPEC-576,17
CAPEC-665,17
CAPEC-207,17
CAPEC-31,16
CAPEC-546,16
CAPEC-17,16
CAPEC-165,16
CAPEC-115,16
CAPEC-7,15
CAPEC-116,15
CAPEC-575,14
CAPEC-237,14
CAPEC-479,14
CAPEC-662,14
CAPEC-111,14
CAPEC-537,13
CAPEC-129,13
CAPEC-330,13
CAPEC-43,13
CAPEC-35,12
CAPEC-77,12
CAPEC-124,12
CAPEC-133,11
CAPEC-489,11
CAPEC-80,11
CAPEC-76,11
CAPEC-329,11
CAPEC-231,11
CAPEC-24,10
CAPEC-114,10
CAPEC-548,10
CAPEC-81,10
CAPEC-528,10
CAPEC-577,9
CAPEC-75,9
CAPEC-100,9
CAPEC-320,9
CAPEC-497,9
CAPEC-120,9
CAPEC-28,9
CAPEC-102,8
CAPEC-633,8
CAPEC-268,8
CAPEC-242,8
CAPEC-3,8
CAPEC-58,8
CAPEC-70,8
CAPEC-29,8
CAPEC-15,7
CAPEC-26,7
CAPEC-73,7
CAPEC-663,7
CAPEC-475,7
CAPEC-178,7
CAPEC-189,7
CAPEC-459,7
CAPEC-247,7
CAPEC-387,7
CAPEC-61,7
CAPEC-59,7
CAPEC-310,7
CAPEC-136,6
CAPEC-383,6
CAPEC-248,6
CAPEC-85,6
CAPEC-132,6
CAPEC-60,6
CAPEC-660,6
CAPEC-670,6
CAPEC-127,6
CAPEC-110,6
CAPEC-135,6
CAPEC-92,6
CAPEC-8,5
CAPEC-27,5
CAPEC-519,5
CAPEC-37,5
CAPEC-88,5
CAPEC-463,5
CAPEC-261,5
CAPEC-41,5
CAPEC-170,5
CAPEC-23,5
CAPEC-93,5
CAPEC-148,5
CAPEC-65,5
CAPEC-204,5
CAPEC-112,5
CAPEC-318,5
CAPEC-509,4
CAPEC-141,4
CAPEC-490,4
CAPEC-291,4
CAPEC-597,4
CAPEC-540,4
CAPEC-123,4
CAPEC-117,4
CAPEC-680,4
CAPEC-16,4
CAPEC-226,4
CAPEC-169,4
CAPEC-657,4
CAPEC-101,4
CAPEC-593,4
CAPEC-44,4
CAPEC-229,4
CAPEC-244,4
CAPEC-87,4
CAPEC-616,4
CAPEC-83,4
CAPEC-678,4
CAPEC-600,4
CAPEC-493,4
CAPEC-233,4
CAPEC-491,4
CAPEC-67,3
CAPEC-518,3
CAPEC-105,3
CAPEC-71,3
CAPEC-564,3
CAPEC-234,3
CAPEC-201,3
CAPEC-177,3
CAPEC-656,3
CAPEC-152,3
CAPEC-508,3
CAPEC-50,3
CAPEC-36,3
CAPEC-22,3
CAPEC-206,3
CAPEC-643,3
CAPEC-681,3
CAPEC-42,3
CAPEC-649,3
CAPEC-221,3
CAPEC-386,3
CAPEC-137,3
CAPEC-650,3
CAPEC-45,3
CAPEC-74,3
CAPEC-21,3
CAPEC-573,3
CAPEC-651,2
CAPEC-172,2
CAPEC-480,2
CAPEC-578,2
CAPEC-49,2
CAPEC-464,2
CAPEC-151,2
CAPEC-642,2
CAPEC-155,2
CAPEC-104,2
CAPEC-298,2
CAPEC-632,2
CAPEC-560,2
CAPEC-139,2
CAPEC-481,2
CAPEC-53,2
CAPEC-485,2
CAPEC-393,2
CAPEC-305,2
CAPEC-243,2
CAPEC-146,2
CAPEC-621,2
CAPEC-185,2
CAPEC-385,2
CAPEC-166,2
CAPEC-96,2
CAPEC-299,2
CAPEC-290,2
CAPEC-103,2
CAPEC-40,2
CAPEC-273,2
CAPEC-33,2
CAPEC-472,2
CAPEC-552,2
CAPEC-274,2
CAPEC-253,2
CAPEC-175,2
CAPEC-613,2
CAPEC-673,2
CAPEC-224,2
CAPEC-230,2
CAPEC-34,2
CAPEC-159,2
CAPEC-536,2
CAPEC-256,2
CAPEC-97,2
CAPEC-301,2
CAPEC-653,2
CAPEC-52,2
CAPEC-482,2
CAPEC-48,2
CAPEC-252,2
CAPEC-412,2
CAPEC-574,2
CAPEC-193,2
CAPEC-630,2
CAPEC-10,2
CAPEC-402,2
CAPEC-415,2
CAPEC-11,2
CAPEC-2,2
CAPEC-295,2
CAPEC-323,2
CAPEC-324,2
CAPEC-5,1
CAPEC-561,1
CAPEC-203,1
CAPEC-217,1
CAPEC-1000,1
CAPEC-639,1
CAPEC-160,1
CAPEC-66,1
CAPEC-84,1
CAPEC-150,1
CAPEC-587,1
CAPEC-69,1
CAPEC-312,1
CAPEC-13,1
CAPEC-504,1
CAPEC-654,1
CAPEC-168,1
CAPEC-439,1
CAPEC-443,1
CAPEC-4,1
CAPEC-275,1
CAPEC-296,1
CAPEC-652,1
CAPEC-640,1
CAPEC-558,1
CAPEC-562,1
CAPEC-473,1
CAPEC-219,1
CAPEC-131,1
CAPEC-39,1
CAPEC-503,1
CAPEC-533,1
CAPEC-107,1
CAPEC-446,1
CAPEC-294,1
CAPEC-313,1
CAPEC-494,1
CAPEC-12,1
CAPEC-389,1
CAPEC-498,1
CAPEC-622,1
CAPEC-138,1
CAPEC-245,1
CAPEC-134,1
CAPEC-267,1
CAPEC-216,1
CAPEC-20,1
CAPEC-192,1
CAPEC-679,1
CAPEC-636,1
CAPEC-635,1
CAPEC-156,1
CAPEC-304,1
CAPEC-495,1
CAPEC-471,1
CAPEC-496,1
CAPEC-565,1
CAPEC-78,1
CAPEC-47,1
CAPEC-128,1
CAPEC-440,1
CAPEC-319,1
CAPEC-322,1
CAPEC-183,1
CAPEC-222,1
CAPEC-308,1
CAPEC-486,1
CAPEC-182,1
CAPEC-468,1
CAPEC-164,1
CAPEC-163,1
CAPEC-505,1
CAPEC-297,1
CAPEC-325,1
CAPEC-328,1
CAPEC-240,1
CAPEC-176,1
CAPEC-625,1
